"전과별(1)",전과별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"전과별(1)",전과별(2),합계,합계,합계,성인,성인,성인,소년,소년,소년,미상,미상,미상
"전과별(1)",전과별(2),계,남,여,계,남,여,계,남,여,계,남,여
"합계",소계,1612424,1273827,338597,1531774,1209389,322385,64478,53720,10758,16172,10718,5454
"전과있음",소계,672217,588270,83947,650410,568850,81560,21298,18982,2316,509,438,71
"전과있음",1범,144685,112434,32251,137939,106760,31179,6636,5587,1049,110,87,23
"전과있음",2범,99177,82638,16539,95717,79623,16094,3368,2936,432,92,79,13
"전과있음",3범,75319,65467,9852,72887,63319,9568,2362,2094,268,70,54,16
"전과있음",4범,56032,49771,6261,54419,48312,6107,1576,1427,149,37,32,5
"전과있음",5범,44913,40584,4329,43573,39363,4210,1309,1191,118,31,30,1
"전과있음",6범,34911,31931,2980,33987,31076,2911,911,843,68,13,12,1
"전과있음",7범,28836,26611,2225,28088,25922,2166,735,676,59,13,13,-
"전과있음",8범,22552,21023,1529,21934,20450,1484,595,553,42,23,20,3
"전과있음",9범이상,165792,157811,7981,161866,154025,7841,3806,3675,131,120,111,9
"전과없음/미상",소계,940207,685557,254650,881364,640539,240825,43180,34738,8442,15663,10280,5383
