"죄종별(1)",죄종별(2),2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020
"죄종별(1)",죄종별(2),계,국가,공무원,고용자,피고용자,직장동료,친구,애인,동거친족,기타친족,거래상대방,이웃,지인,타인,기타,미상
"계",소계,1494421,209423,6208,4613,3992,11335,11111,13064,38042,8226,35439,15232,44268,466746,106953,519769
"강력범죄",소계,26971,47,25,247,217,1115,676,747,773,342,190,479,3250,11405,892,6566
"강력범죄",살인기수,341,-,-,1,-,12,8,32,82,19,3,12,37,42,10,83
"강력범죄",살인미수등,454,2,2,1,1,23,20,29,71,31,-,20,67,92,20,75
"강력범죄",강도,1202,1,-,3,2,11,20,23,5,9,15,3,53,805,40,212
"강력범죄",강간,6113,-,1,33,29,136,206,420,165,58,29,63,1021,1548,181,2223
"강력범죄",유사강간,934,-,-,3,4,32,50,46,33,9,2,24,186,272,42,231
"강력범죄",강제추행,16382,-,14,202,173,890,361,136,240,162,124,291,1785,8046,467,3491
"강력범죄",기타 강간·강제추행등,349,-,-,2,2,4,10,14,11,12,1,14,63,138,12,66
"강력범죄",방화,1196,44,8,2,6,7,1,47,166,42,16,52,38,462,120,185
"절도범죄",소계,98425,202,30,636,421,479,667,434,69,150,1295,1206,2141,73966,2476,14253
"폭력범죄",소계,313990,296,183,578,737,5831,6069,8197,31265,5335,2802,9061,18552,110442,7502,107140
"폭력범죄",상해,43552,16,30,111,123,2316,1915,1970,4037,1170,406,2216,5836,17813,1173,4420
"폭력범죄",폭행,178448,10,73,230,291,2750,2219,3280,19721,2402,1378,3408,7684,52159,2658,80185
"폭력범죄",체포·감금,1695,-,1,4,11,19,65,221,95,58,11,14,120,323,47,706
"폭력범죄",협박,22507,34,16,47,49,267,207,1006,3413,601,188,862,1167,6686,740,7224
"폭력범죄",약취·유인,296,-,-,1,1,-,6,3,15,23,-,1,8,106,9,123
"폭력범죄",폭력행위등,25342,145,31,89,170,274,1283,43,117,300,169,343,1672,13920,1238,5548
"폭력범죄",공갈,3434,23,3,15,12,26,180,72,11,19,64,8,372,1137,192,1300
"폭력범죄",손괴,38716,68,29,81,80,179,194,1602,3856,762,586,2209,1693,18298,1445,7634
"지능범죄",소계,307706,6063,122,2019,1423,1278,1841,1221,196,843,24748,685,12752,84290,22316,147909
"지능범죄",직무유기,947,41,7,-,-,-,-,-,-,-,2,-,-,21,6,870
"지능범죄",직권남용,1021,43,13,-,-,5,-,-,-,-,4,-,1,49,16,890
"지능범죄",증수뢰,807,271,5,4,1,6,1,-,1,-,14,-,9,84,127,284
"지능범죄",통화,86,7,-,-,-,-,-,-,-,-,1,-,-,10,9,59
"지능범죄",문서·인장,15465,1695,61,69,52,94,86,61,136,289,557,61,529,1730,1238,8807
"지능범죄",유가증권인지,117,10,-,-,-,1,-,-,1,-,7,-,8,7,10,73
"지능범죄",사기,245009,3515,24,798,523,708,1589,1097,48,333,22241,401,11092,68552,18377,115711
"지능범죄",횡령,35930,278,7,930,686,364,158,63,8,186,1579,177,940,13406,1971,15177
"지능범죄",배임,8324,203,5,218,161,100,7,-,2,35,343,46,173,431,562,6038
"풍속범죄",소계,34671,11670,8,10,18,231,413,695,64,31,107,96,934,9972,6678,3744
"풍속범죄",성풍속범죄,13546,883,3,9,17,139,378,693,63,23,34,62,589,7001,1633,2019
"풍속범죄",도박범죄,21125,10787,5,1,1,92,35,2,1,8,73,34,345,2971,5045,1725
"특별경제범죄",소계,67904,6043,52,234,218,258,71,101,49,122,2342,374,1213,28972,7491,20364
"마약범죄",소계,11630,7505,3,3,4,5,9,23,8,1,6,1,46,465,2509,1042
"보건범죄",소계,21810,12574,47,7,47,15,3,2,3,2,181,11,39,1698,3399,3782
"환경범죄",소계,4329,2633,11,-,3,1,-,-,-,4,12,6,1,281,708,669
"교통범죄",소계,356446,92011,86,16,46,96,327,82,182,73,190,374,408,103338,23269,135948
"노동범죄",소계,613,276,1,10,12,4,-,-,-,1,13,-,3,55,105,133
"안보범죄",소계,678,71,-,-,-,-,1,-,-,-,20,-,-,407,102,77
"선거범죄",소계,1545,576,3,1,-,-,1,-,-,-,1,-,6,191,180,586
"병역범죄",소계,3164,2535,10,1,1,-,-,-,-,-,4,-,-,67,263,283
"기타범죄",소계,244539,66921,5627,851,845,2022,1033,1562,5433,1322,3528,2939,4923,41197,29063,77273
